epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.121,1.54745,7.83042,0.90671,0.00107,0.02439,0.00156,0.00154,0.00127,1.39652,4.93807,0.67939,1.46474e-05,1.46474e-05,1.46474e-05
2,288.31,1.4927,6.60968,0.86326,0.0016,0.04243,0.00145,0.00137,0.00118,1.36579,5.8166,0.67756,2.90239e-05,2.90239e-05,2.90239e-05
3,426.375,1.40825,5.51183,0.85385,0.00064,0.02725,0.00053,0.00041,0.00039,1.31632,5.78716,0.6743,4.311e-05,4.311e-05,4.311e-05
4,563.603,1.34869,4.8205,0.85265,0.00219,0.04002,0.0018,0.00171,0.00154,1.31723,5.87844,0.67764,4.26932e-05,4.26932e-05,4.26932e-05
5,701.596,1.31288,4.38371,0.84656,0.00193,0.04347,0.00317,0.00295,0.0026,1.30501,6.39915,0.67654,4.22576e-05,4.22576e-05,4.22576e-05
6,840.412,1.28148,4.08836,0.84233,0.00371,0.06378,0.00485,0.0047,0.00427,1.29372,5.89044,0.67376,4.1822e-05,4.1822e-05,4.1822e-05
7,978.122,1.26154,3.82352,0.83923,0.00183,0.069,0.00377,0.00366,0.00317,1.29643,6.22901,0.67683,4.13864e-05,4.13864e-05,4.13864e-05
8,1116,1.22903,3.5713,0.84022,0.00317,0.08954,0.00457,0.0044,0.00391,1.25967,6.24683,0.66824,4.09508e-05,4.09508e-05,4.09508e-05
9,1253.48,1.2126,3.41664,0.83722,0.00201,0.09954,0.00459,0.00432,0.00383,1.23731,6.17655,0.66806,4.05152e-05,4.05152e-05,4.05152e-05
10,1390.51,1.20393,3.28761,0.835,0.00275,0.09839,0.00442,0.00387,0.00353,1.25599,5.90235,0.67099,4.00796e-05,4.00796e-05,4.00796e-05
11,1528.03,1.19233,3.12506,0.83526,0.00256,0.10948,0.00497,0.00458,0.00405,1.2507,5.86844,0.67149,3.9644e-05,3.9644e-05,3.9644e-05
12,1664.32,1.17552,2.99635,0.83238,0.00413,0.11955,0.00901,0.00863,0.00754,1.24147,5.89508,0.66974,3.92084e-05,3.92084e-05,3.92084e-05
13,1800.97,1.16391,2.94194,0.83318,0.00375,0.12409,0.00826,0.00784,0.00675,1.21771,6.10864,0.6656,3.87728e-05,3.87728e-05,3.87728e-05
14,1938.68,1.13744,2.7905,0.83374,0.00439,0.12205,0.00841,0.0079,0.00696,1.22349,6.34068,0.6677,3.83372e-05,3.83372e-05,3.83372e-05
15,2076.33,1.14972,2.72975,0.83067,0.05439,0.11756,0.01272,0.01208,0.01026,1.21474,6.05342,0.66993,3.79016e-05,3.79016e-05,3.79016e-05
16,2214.7,1.12151,2.64596,0.83328,0.00631,0.14302,0.01344,0.01271,0.01127,1.20958,5.60119,0.66667,3.7466e-05,3.7466e-05,3.7466e-05
17,2351.85,1.12413,2.56533,0.82776,0.0079,0.15922,0.01614,0.01547,0.01363,1.21394,6.20196,0.66843,3.70304e-05,3.70304e-05,3.70304e-05
18,2489.03,1.12835,2.53392,0.8303,0.00924,0.16316,0.01479,0.01381,0.01198,1.21605,5.73973,0.66841,3.65948e-05,3.65948e-05,3.65948e-05
19,2625.95,1.13041,2.49046,0.82683,0.0158,0.17059,0.02218,0.02115,0.0188,1.2054,5.86543,0.66733,3.61592e-05,3.61592e-05,3.61592e-05
20,2762.12,1.10104,2.38859,0.8276,0.01099,0.18037,0.01841,0.01732,0.01484,1.19839,5.74724,0.66712,3.57236e-05,3.57236e-05,3.57236e-05
21,2899.16,1.12277,2.39479,0.82694,0.0089,0.19312,0.02015,0.01874,0.01662,1.20144,5.59565,0.66712,3.5288e-05,3.5288e-05,3.5288e-05
22,3036.52,1.09497,2.28818,0.83107,0.00783,0.18635,0.01544,0.01438,0.01251,1.19052,5.75737,0.66869,3.48524e-05,3.48524e-05,3.48524e-05
23,3173.2,1.10662,2.26015,0.82905,0.00825,0.18562,0.01896,0.01726,0.01507,1.18583,5.6018,0.66956,3.44168e-05,3.44168e-05,3.44168e-05
24,3309.46,1.08481,2.21966,0.82556,0.0077,0.19932,0.01896,0.01709,0.01508,1.20161,5.5244,0.66858,3.39812e-05,3.39812e-05,3.39812e-05
25,3446.76,1.08917,2.16538,0.82651,0.00701,0.19769,0.01738,0.01505,0.01336,1.19922,5.69319,0.66902,3.35456e-05,3.35456e-05,3.35456e-05
26,3583.49,1.08504,2.13364,0.82593,0.00753,0.20767,0.02251,0.02043,0.01783,1.18158,5.47185,0.66975,3.311e-05,3.311e-05,3.311e-05
27,3719.79,1.06441,2.09382,0.82423,0.00847,0.20658,0.02193,0.01988,0.01744,1.19253,5.41887,0.67124,3.26744e-05,3.26744e-05,3.26744e-05
28,3857.18,1.0795,2.05012,0.82572,0.00822,0.22588,0.02454,0.02218,0.01938,1.16916,5.5343,0.66875,3.22388e-05,3.22388e-05,3.22388e-05
29,3994.06,1.07791,2.01817,0.82516,0.00841,0.22675,0.02287,0.02008,0.01795,1.16275,5.67189,0.66857,3.18032e-05,3.18032e-05,3.18032e-05
30,4132.13,1.05455,1.97818,0.82499,0.00737,0.22854,0.02439,0.02166,0.01923,1.16785,5.66529,0.66973,3.13676e-05,3.13676e-05,3.13676e-05
31,4268.87,1.07001,1.97259,0.82243,0.00742,0.21532,0.02237,0.02003,0.01774,1.16462,5.54135,0.66833,3.0932e-05,3.0932e-05,3.0932e-05
32,4405.24,1.06072,1.92467,0.82275,0.00869,0.23927,0.02625,0.02353,0.02089,1.17135,5.42622,0.66835,3.04964e-05,3.04964e-05,3.04964e-05
33,4542.47,1.06713,1.90386,0.82153,0.11826,0.10423,0.0271,0.02418,0.02151,1.16169,5.46555,0.66735,3.00608e-05,3.00608e-05,3.00608e-05
34,4679.45,1.05951,1.87608,0.82156,0.00883,0.22874,0.02399,0.02202,0.01914,1.17458,5.45801,0.66818,2.96252e-05,2.96252e-05,2.96252e-05
35,4815.27,1.05502,1.8758,0.82242,0.00896,0.25224,0.02614,0.02313,0.02032,1.17175,5.49172,0.66939,2.91896e-05,2.91896e-05,2.91896e-05
36,4951.86,1.04446,1.82086,0.82277,0.00903,0.24416,0.02598,0.02281,0.02034,1.18526,5.26492,0.67043,2.8754e-05,2.8754e-05,2.8754e-05
37,5088.98,1.06157,1.79623,0.82652,0.01033,0.23847,0.0282,0.02534,0.02249,1.17761,5.46513,0.6698,2.83184e-05,2.83184e-05,2.83184e-05
38,5225.35,1.04975,1.76539,0.81688,0.25997,0.03167,0.02891,0.02485,0.02248,1.17072,5.35331,0.67034,2.78828e-05,2.78828e-05,2.78828e-05
39,5362.38,1.04693,1.76447,0.82118,0.27452,0.03129,0.02898,0.02345,0.0216,1.17193,5.37953,0.66882,2.74472e-05,2.74472e-05,2.74472e-05
40,5498.65,1.02679,1.69895,0.82224,0.2274,0.03792,0.03174,0.02732,0.02476,1.16861,5.29621,0.66775,2.70116e-05,2.70116e-05,2.70116e-05
41,5635.21,1.01544,1.67556,0.82157,0.23457,0.03178,0.03089,0.02827,0.02434,1.17285,5.31666,0.67027,2.6576e-05,2.6576e-05,2.6576e-05
42,5772.15,1.01936,1.66093,0.82282,0.18216,0.05237,0.02866,0.02496,0.02261,1.16612,5.23203,0.66933,2.61404e-05,2.61404e-05,2.61404e-05
43,5908.72,1.03936,1.64741,0.82301,0.11537,0.12393,0.03368,0.02714,0.02521,1.16326,5.26582,0.66885,2.57048e-05,2.57048e-05,2.57048e-05
44,6045.13,1.00466,1.64182,0.81594,0.05846,0.16245,0.03121,0.02858,0.02393,1.17393,5.25644,0.66916,2.52692e-05,2.52692e-05,2.52692e-05
45,6181.45,1.0142,1.65292,0.81784,0.15718,0.08908,0.03439,0.0314,0.02634,1.16402,5.24122,0.66778,2.48336e-05,2.48336e-05,2.48336e-05
46,6316.87,1.03438,1.6198,0.82057,0.0096,0.27478,0.03166,0.02458,0.0237,1.16621,5.24611,0.66911,2.4398e-05,2.4398e-05,2.4398e-05
47,6453.13,1.02243,1.61925,0.82001,0.14227,0.08631,0.03616,0.03359,0.02695,1.16286,5.27638,0.66812,2.39624e-05,2.39624e-05,2.39624e-05
48,6589.32,1.0121,1.56736,0.82118,0.18093,0.06523,0.033,0.03027,0.02536,1.15807,5.24982,0.66851,2.35268e-05,2.35268e-05,2.35268e-05
49,6724.68,1.03345,1.58185,0.81986,0.27013,0.03478,0.0338,0.03134,0.02609,1.15421,5.23703,0.66934,2.30912e-05,2.30912e-05,2.30912e-05
50,6860.71,1.01596,1.53942,0.81969,0.26133,0.04006,0.03534,0.03258,0.02631,1.15307,5.13879,0.66882,2.26556e-05,2.26556e-05,2.26556e-05
51,6996.24,0.99471,1.53818,0.81886,0.10115,0.14175,0.03377,0.02973,0.0254,1.15555,5.36827,0.66836,2.222e-05,2.222e-05,2.222e-05
52,7131.44,1.01941,1.53847,0.82034,0.26034,0.04146,0.03345,0.0293,0.02506,1.14814,5.20623,0.66924,2.17844e-05,2.17844e-05,2.17844e-05
53,7267.34,0.99412,1.49389,0.81785,0.0113,0.28848,0.03476,0.03066,0.02606,1.15294,5.34729,0.66868,2.13488e-05,2.13488e-05,2.13488e-05
54,7402.41,1.0041,1.51223,0.8177,0.08053,0.14669,0.03352,0.02909,0.02527,1.15031,5.26085,0.66851,2.09132e-05,2.09132e-05,2.09132e-05
55,7537,1.00288,1.47553,0.81797,0.1302,0.12391,0.035,0.03044,0.02671,1.15192,5.19524,0.66865,2.04776e-05,2.04776e-05,2.04776e-05
56,7672.84,1.00122,1.45174,0.81758,0.10951,0.13546,0.03484,0.03012,0.02607,1.15389,5.27869,0.66645,2.0042e-05,2.0042e-05,2.0042e-05
57,7807.61,0.9937,1.46475,0.81831,0.06787,0.16672,0.03662,0.03211,0.02768,1.14606,5.04887,0.66569,1.96064e-05,1.96064e-05,1.96064e-05
58,7942.13,1.00064,1.43043,0.8177,0.15563,0.07083,0.03994,0.03526,0.02921,1.1406,5.23364,0.66534,1.91708e-05,1.91708e-05,1.91708e-05
59,16166.6,1.00893,1.44656,0.81826,0.14118,0.08144,0.03609,0.03152,0.02685,1.14966,5.27159,0.6688,1.87352e-05,1.87352e-05,1.87352e-05
60,16302.6,0.98755,1.41071,0.81467,0.14936,0.08919,0.03697,0.03228,0.02807,1.14811,5.23924,0.66597,1.82996e-05,1.82996e-05,1.82996e-05
61,16437.6,0.98785,1.40855,0.81829,0.15403,0.0771,0.03817,0.0325,0.02852,1.14688,5.24127,0.66695,1.7864e-05,1.7864e-05,1.7864e-05
62,16572.3,1.00286,1.40107,0.8171,0.12566,0.10664,0.03778,0.03261,0.02863,1.14428,5.19029,0.66642,1.74284e-05,1.74284e-05,1.74284e-05
63,16707,0.98276,1.38183,0.8123,0.16214,0.07823,0.03944,0.03414,0.02921,1.14624,5.21258,0.66681,1.69928e-05,1.69928e-05,1.69928e-05
64,16842.1,0.98476,1.36594,0.81603,0.18082,0.08117,0.03526,0.03062,0.02594,1.14693,5.24199,0.6676,1.65572e-05,1.65572e-05,1.65572e-05
65,16977.2,0.97449,1.35755,0.81568,0.12145,0.09615,0.03549,0.03073,0.02627,1.13885,5.24376,0.66751,1.61216e-05,1.61216e-05,1.61216e-05
66,17111.2,0.9982,1.37585,0.81621,0.19117,0.05854,0.03532,0.03059,0.02614,1.14338,5.16663,0.66514,1.5686e-05,1.5686e-05,1.5686e-05
67,17245.9,0.98457,1.36992,0.81646,0.15603,0.07936,0.03638,0.03148,0.02713,1.14009,5.14562,0.66639,1.52504e-05,1.52504e-05,1.52504e-05
68,17391.5,0.97635,1.33382,0.81521,0.09297,0.11896,0.03505,0.03017,0.02623,1.14409,5.19801,0.66729,1.48148e-05,1.48148e-05,1.48148e-05
69,17549,0.98258,1.33534,0.81763,0.12825,0.08041,0.03568,0.03065,0.02655,1.14254,5.25037,0.66542,1.43792e-05,1.43792e-05,1.43792e-05
70,17706.3,0.96606,1.32173,0.81261,0.11798,0.10063,0.0403,0.02715,0.02845,1.14187,5.12734,0.66553,1.39436e-05,1.39436e-05,1.39436e-05
71,17863.3,0.98333,1.31595,0.81385,0.16903,0.07689,0.0402,0.03519,0.02923,1.13735,5.09923,0.6648,1.3508e-05,1.3508e-05,1.3508e-05
72,18020.4,0.96879,1.30484,0.8169,0.17342,0.06981,0.03922,0.03404,0.02832,1.13675,5.11773,0.6656,1.30724e-05,1.30724e-05,1.30724e-05
73,18177.4,0.97598,1.32274,0.81618,0.1956,0.05643,0.03976,0.0347,0.02894,1.14265,5.20369,0.66548,1.26368e-05,1.26368e-05,1.26368e-05
74,18333.5,0.97154,1.29884,0.81655,0.1768,0.06767,0.03979,0.03471,0.02878,1.13691,5.203,0.66665,1.22012e-05,1.22012e-05,1.22012e-05
75,18490.9,0.98883,1.33559,0.81559,0.17137,0.08228,0.0393,0.0344,0.02821,1.14076,5.11626,0.66812,1.17656e-05,1.17656e-05,1.17656e-05
76,18648.3,0.97987,1.29383,0.81475,0.20181,0.06069,0.04083,0.03566,0.0296,1.13724,5.09377,0.66476,1.133e-05,1.133e-05,1.133e-05
77,18797.9,0.99009,1.28609,0.81531,0.18202,0.06384,0.0391,0.03407,0.02827,1.13843,5.13732,0.6665,1.08944e-05,1.08944e-05,1.08944e-05
78,18948,0.96953,1.29222,0.81352,0.16134,0.07107,0.03981,0.03476,0.02894,1.14036,5.08488,0.66715,1.04588e-05,1.04588e-05,1.04588e-05
79,19089.6,0.96146,1.27429,0.8122,0.20046,0.06386,0.03966,0.03451,0.02863,1.13583,5.16462,0.66686,1.00232e-05,1.00232e-05,1.00232e-05
80,19225.8,0.9855,1.2601,0.81605,0.19047,0.06291,0.04005,0.03489,0.02892,1.14324,5.14496,0.66602,9.5876e-06,9.5876e-06,9.5876e-06
81,19362,0.9521,1.24642,0.81558,0.18647,0.05241,0.0409,0.03538,0.02948,1.13871,5.11313,0.66583,9.152e-06,9.152e-06,9.152e-06
82,19497.2,0.96617,1.25272,0.81434,0.18937,0.06472,0.04196,0.03664,0.03063,1.13643,5.12744,0.66583,8.7164e-06,8.7164e-06,8.7164e-06
83,19633.5,0.96178,1.24143,0.81408,0.18096,0.06541,0.04115,0.036,0.03083,1.13297,5.12166,0.66491,8.2808e-06,8.2808e-06,8.2808e-06
84,19769.5,0.96402,1.25521,0.81527,0.2118,0.05923,0.04035,0.0351,0.02926,1.1327,5.12951,0.66647,7.8452e-06,7.8452e-06,7.8452e-06
85,19905.9,0.9669,1.2562,0.81773,0.19962,0.06386,0.04088,0.03579,0.03055,1.13006,5.12646,0.66581,7.4096e-06,7.4096e-06,7.4096e-06
86,20047.2,0.97433,1.24902,0.81206,0.20926,0.0631,0.04197,0.03652,0.03127,1.13578,5.15273,0.66593,6.974e-06,6.974e-06,6.974e-06
87,20196.7,0.96855,1.25107,0.81342,0.20312,0.06325,0.04177,0.03633,0.03019,1.1397,5.11289,0.66618,6.5384e-06,6.5384e-06,6.5384e-06
88,20346.9,0.97296,1.23602,0.81212,0.20345,0.06152,0.04167,0.03636,0.03109,1.14132,5.07835,0.666,6.1028e-06,6.1028e-06,6.1028e-06
89,20496.8,0.96425,1.22442,0.81579,0.21021,0.0628,0.04157,0.03622,0.03013,1.14257,5.09392,0.66653,5.6672e-06,5.6672e-06,5.6672e-06
90,20644.7,0.95483,1.21661,0.81152,0.2113,0.06301,0.04101,0.03568,0.02971,1.14006,5.04924,0.66681,5.2316e-06,5.2316e-06,5.2316e-06
91,20803.2,0.90939,1.13439,0.81014,0.2017,0.06405,0.03921,0.034,0.02824,1.14051,5.20748,0.66671,4.796e-06,4.796e-06,4.796e-06
92,20938.6,0.90868,1.12356,0.80995,0.20319,0.06321,0.03944,0.03438,0.02851,1.14082,5.20461,0.66681,4.3604e-06,4.3604e-06,4.3604e-06
93,21074.9,0.90116,1.11845,0.81392,0.20891,0.05004,0.03928,0.03444,0.02857,1.14073,5.20404,0.6664,3.9248e-06,3.9248e-06,3.9248e-06
94,21210.8,0.9128,1.11815,0.8103,0.20895,0.05043,0.03989,0.03486,0.02894,1.14243,5.19651,0.66633,3.4892e-06,3.4892e-06,3.4892e-06
95,21355.4,0.91951,1.12124,0.81116,0.21248,0.04912,0.04019,0.03525,0.02927,1.14053,5.1657,0.66583,3.0536e-06,3.0536e-06,3.0536e-06
96,21494.6,0.90279,1.11351,0.81266,0.20403,0.04983,0.03955,0.03447,0.02868,1.13909,5.14585,0.6659,2.618e-06,2.618e-06,2.618e-06
97,21630.4,0.89648,1.09805,0.8141,0.20256,0.04992,0.03549,0.03045,0.02629,1.1406,5.1299,0.666,2.1824e-06,2.1824e-06,2.1824e-06
98,21765,0.90504,1.10697,0.81011,0.20134,0.04904,0.0355,0.03041,0.0262,1.14175,5.12299,0.66577,1.7468e-06,1.7468e-06,1.7468e-06
99,21900.7,0.90207,1.099,0.81239,0.20214,0.04932,0.03525,0.03017,0.02592,1.14113,5.14969,0.66573,1.3112e-06,1.3112e-06,1.3112e-06
100,22040.3,0.89819,1.10051,0.81192,0.20149,0.04881,0.03514,0.03002,0.02579,1.14124,5.14815,0.66585,8.756e-07,8.756e-07,8.756e-07
