epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.456,1.5484,7.83193,0.90688,0.00122,0.02439,0.0016,0.00158,0.00132,1.39349,4.9235,0.67938,1.46474e-05,1.46474e-05,1.46474e-05
2,288.565,1.49351,6.60864,0.86367,0.00152,0.04266,0.00139,0.0013,0.00113,1.362,5.86247,0.67767,2.90239e-05,2.90239e-05,2.90239e-05
3,426.974,1.40625,5.50279,0.85401,0.00062,0.02699,0.00052,0.00044,0.00038,1.31383,5.80849,0.67292,4.311e-05,4.311e-05,4.311e-05
4,564.889,1.3513,4.81729,0.85311,0.00174,0.04083,0.0016,0.00151,0.00138,1.31615,5.87559,0.67672,4.26932e-05,4.26932e-05,4.26932e-05
5,716.403,1.31417,4.38516,0.84679,0.00231,0.04227,0.00323,0.00299,0.00263,1.30776,6.40812,0.67605,4.22576e-05,4.22576e-05,4.22576e-05
6,872.667,1.2788,4.0847,0.84235,0.00329,0.0626,0.00476,0.00466,0.00427,1.29304,5.83852,0.67534,4.1822e-05,4.1822e-05,4.1822e-05
7,1029.95,1.26018,3.82023,0.83915,0.00381,0.06786,0.005,0.0049,0.00425,1.30538,6.25293,0.67727,4.13864e-05,4.13864e-05,4.13864e-05
8,1190.04,1.22879,3.57109,0.84049,0.00312,0.09213,0.0049,0.00478,0.00423,1.25563,6.19675,0.66771,4.09508e-05,4.09508e-05,4.09508e-05
9,1346.74,1.21231,3.41415,0.83724,0.00214,0.09949,0.00453,0.00423,0.00379,1.2427,6.13474,0.66798,4.05152e-05,4.05152e-05,4.05152e-05
10,1500.69,1.20337,3.2858,0.83491,0.00275,0.09093,0.00437,0.0041,0.00364,1.25812,5.94012,0.67118,4.00796e-05,4.00796e-05,4.00796e-05
11,1650.04,1.19137,3.12342,0.83537,0.00263,0.10742,0.00517,0.00472,0.00416,1.26016,5.82638,0.67189,3.9644e-05,3.9644e-05,3.9644e-05
12,1801.24,1.17509,2.99624,0.8323,0.00429,0.12203,0.009,0.00857,0.00748,1.24994,5.83196,0.67023,3.92084e-05,3.92084e-05,3.92084e-05
13,1951.37,1.16255,2.94055,0.83327,0.00403,0.12508,0.0088,0.00841,0.00728,1.21899,6.04612,0.66571,3.87728e-05,3.87728e-05,3.87728e-05
14,2103.27,1.13701,2.78959,0.83375,0.00427,0.13574,0.00949,0.00878,0.00759,1.22305,6.2231,0.66834,3.83372e-05,3.83372e-05,3.83372e-05
15,2251.15,1.14796,2.729,0.8305,0.00513,0.14024,0.01283,0.01226,0.01039,1.21274,5.9586,0.66906,3.79016e-05,3.79016e-05,3.79016e-05
16,2399.71,1.1199,2.64245,0.83327,0.0068,0.14535,0.01069,0.00996,0.0088,1.21112,5.54388,0.66648,3.7466e-05,3.7466e-05,3.7466e-05
17,2548.27,1.12331,2.56256,0.82762,0.00631,0.15879,0.01567,0.01499,0.01307,1.21349,6.06183,0.66737,3.70304e-05,3.70304e-05,3.70304e-05
