epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.474,1.70553,7.90423,0.90649,0.00113,0.05215,0.00154,0.00128,1.83609,5.18123,0.71997,1.46474e-05,1.46474e-05,1.46474e-05
2,212.773,1.72248,6.5546,0.83847,0.00112,0.06624,0.00227,0.00191,1.80798,5.84455,0.70802,2.90239e-05,2.90239e-05,2.90239e-05
3,307.018,1.63574,5.47538,0.82944,0.00224,0.06572,0.00308,0.00264,1.74462,5.81132,0.70176,4.311e-05,4.311e-05,4.311e-05
4,401.481,1.54787,4.82612,0.82049,0.00183,0.08017,0.00238,0.0019,1.73824,6.34013,0.70058,4.26932e-05,4.26932e-05,4.26932e-05
5,498.157,1.45343,4.38963,0.82001,0.00151,0.08031,0.0026,0.00212,1.73311,6.18899,0.70283,4.22576e-05,4.22576e-05,4.22576e-05
6,596.179,1.4671,4.18557,0.81915,0.00159,0.06805,0.00267,0.00216,1.73885,6.07673,0.70126,4.1822e-05,4.1822e-05,4.1822e-05
7,693.671,1.41657,3.92779,0.81765,0.00176,0.10013,0.0036,0.00284,1.69713,6.0578,0.69425,4.13864e-05,4.13864e-05,4.13864e-05
8,791.974,1.38927,3.73574,0.81433,0.00176,0.10109,0.00391,0.00311,1.70544,6.26985,0.69653,4.09508e-05,4.09508e-05,4.09508e-05
9,891.548,1.35666,3.51702,0.81419,0.00308,0.11386,0.00479,0.00376,1.66932,5.82027,0.69533,4.05152e-05,4.05152e-05,4.05152e-05
10,990.883,1.37287,3.37976,0.8142,0.00284,0.11793,0.00543,0.00414,1.65295,5.78643,0.69426,4.00796e-05,4.00796e-05,4.00796e-05
11,1087,1.32577,3.25879,0.81042,0.00328,0.12795,0.00605,0.0046,1.68677,6.09181,0.69342,3.9644e-05,3.9644e-05,3.9644e-05
