epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.733,2.16978,10.569,0.00276,0.0002,0.00244,0.0002,0.00018,1.91748,4.93132,0.00184,1.46474e-05,1.46474e-05,1.46474e-05
2,290.45,2.02602,8.78191,0.00216,0.0006,0.01676,0.00081,0.00072,1.91019,5.2317,0.00179,2.90239e-05,2.90239e-05,2.90239e-05
3,420.647,1.93642,7.50804,0.002,0.00028,0.0121,0.00043,0.00034,1.87587,5.45161,0.00174,4.311e-05,4.311e-05,4.311e-05
4,552.822,1.88932,6.80835,0.00189,0.24442,0.00113,0.0003,0.00024,1.85151,5.79725,0.0017,4.26932e-05,4.26932e-05,4.26932e-05
5,683.295,1.80795,6.22858,0.00181,0.21996,0.00204,0.0003,0.00018,1.81846,5.74538,0.00164,4.22576e-05,4.22576e-05,4.22576e-05
6,813.561,1.81491,5.81962,0.00177,0.21253,0.00173,0.00098,0.00076,1.82414,5.81512,0.00166,4.1822e-05,4.1822e-05,4.1822e-05
7,944.568,1.77769,5.51558,0.00172,0.29445,0.00117,0.00084,0.00064,1.79407,5.70078,0.00162,4.13864e-05,4.13864e-05,4.13864e-05
8,1074.33,1.7631,5.19176,0.00169,0.28844,0.00117,0.0008,0.00059,1.79924,5.62071,0.00163,4.09508e-05,4.09508e-05,4.09508e-05
9,1205.84,1.74759,4.93773,0.00167,0.33231,0.00143,0.00138,0.00104,1.77732,5.53386,0.00158,4.05152e-05,4.05152e-05,4.05152e-05
10,1336.75,1.72524,4.72631,0.00167,0.28072,0.00146,0.0015,0.00111,1.75392,5.56909,0.00158,4.00796e-05,4.00796e-05,4.00796e-05
11,1467.2,1.70366,4.48091,0.00162,0.2796,0.00198,0.00222,0.00152,1.77156,5.77059,0.0016,3.9644e-05,3.9644e-05,3.9644e-05
12,1598.1,1.69232,4.27906,0.00161,0.26404,0.0026,0.00355,0.0026,1.72218,5.70971,0.00156,3.92084e-05,3.92084e-05,3.92084e-05
13,1729.07,1.70101,4.10043,0.0016,0.26381,0.00307,0.00293,0.00192,1.70972,5.75013,0.00151,3.87728e-05,3.87728e-05,3.87728e-05
14,1859.9,1.66413,3.95092,0.00159,0.2462,0.00372,0.00361,0.0024,1.69629,5.62869,0.0015,3.83372e-05,3.83372e-05,3.83372e-05
15,1990.51,1.67522,3.82072,0.0016,0.00268,0.07922,0.00392,0.00258,1.68723,5.25084,0.00149,3.79016e-05,3.79016e-05,3.79016e-05
16,2121.29,1.67517,3.67465,0.00157,0.00273,0.07809,0.00486,0.00327,1.68074,5.17216,0.00148,3.7466e-05,3.7466e-05,3.7466e-05
17,2252.54,1.65657,3.58816,0.00157,0.28774,0.00382,0.0045,0.00288,1.68969,5.52396,0.00147,3.70304e-05,3.70304e-05,3.70304e-05
18,2383.49,1.65121,3.48973,0.00155,0.24656,0.00524,0.00461,0.00281,1.67348,5.59565,0.00146,3.65948e-05,3.65948e-05,3.65948e-05
19,2514.8,1.63993,3.35842,0.00153,0.00238,0.09821,0.0052,0.00343,1.65995,5.42972,0.00143,3.61592e-05,3.61592e-05,3.61592e-05
20,2645.52,1.64948,3.28186,0.00153,0.26304,0.00651,0.00506,0.0033,1.6555,5.35916,0.00143,3.57236e-05,3.57236e-05,3.57236e-05
21,2775.28,1.64359,3.20283,0.00154,0.26317,0.00618,0.00521,0.00324,1.65818,5.12763,0.00143,3.5288e-05,3.5288e-05,3.5288e-05
22,2904.69,1.63891,3.15174,0.00153,0.00296,0.11775,0.00671,0.00434,1.6525,5.1282,0.00141,3.48524e-05,3.48524e-05,3.48524e-05
23,3035.15,1.63735,3.11918,0.00152,0.26344,0.00919,0.00612,0.00386,1.66272,5.32603,0.00143,3.44168e-05,3.44168e-05,3.44168e-05
24,3165.22,1.62547,2.98478,0.0015,0.2893,0.0078,0.00754,0.00483,1.641,5.23548,0.00141,3.39812e-05,3.39812e-05,3.39812e-05
25,3295.9,1.61021,2.95057,0.00151,0.27227,0.00864,0.00685,0.00426,1.64423,5.21941,0.00141,3.35456e-05,3.35456e-05,3.35456e-05
26,3425.2,1.60813,2.90088,0.0015,0.00323,0.13524,0.00819,0.00528,1.62947,5.2941,0.0014,3.311e-05,3.311e-05,3.311e-05
27,3555.39,1.62862,2.8578,0.0015,0.00311,0.14253,0.00849,0.00555,1.62601,5.20062,0.0014,3.26744e-05,3.26744e-05,3.26744e-05
28,3684.62,1.59324,2.77905,0.00148,0.00338,0.14823,0.00836,0.00544,1.62883,5.33761,0.00141,3.22388e-05,3.22388e-05,3.22388e-05
29,3813.52,1.62883,2.75537,0.00147,0.00691,0.15709,0.01101,0.00759,1.60826,5.12957,0.00139,3.18032e-05,3.18032e-05,3.18032e-05
30,3943.23,1.59182,2.69361,0.00148,0.00347,0.15554,0.01013,0.00674,1.58513,5.22201,0.00135,3.13676e-05,3.13676e-05,3.13676e-05
31,4071.98,1.57286,2.64107,0.00145,0.00752,0.17016,0.012,0.00831,1.62015,5.16159,0.00139,3.0932e-05,3.0932e-05,3.0932e-05
32,4201.19,1.56423,2.63092,0.00147,0.00847,0.17022,0.01316,0.00925,1.60757,5.05572,0.00138,3.04964e-05,3.04964e-05,3.04964e-05
33,4331.36,1.58253,2.56135,0.00146,0.01012,0.17073,0.0156,0.01135,1.59454,5.05416,0.00136,3.00608e-05,3.00608e-05,3.00608e-05
34,4461.93,1.58571,2.5546,0.00146,0.00877,0.17675,0.0147,0.01027,1.58617,5.03221,0.00135,2.96252e-05,2.96252e-05,2.96252e-05
35,4591.4,1.56883,2.52899,0.00145,0.00617,0.19142,0.01329,0.00871,1.60168,5.12507,0.00137,2.91896e-05,2.91896e-05,2.91896e-05
36,4721.99,1.57765,2.49437,0.00145,0.00818,0.18772,0.01448,0.00979,1.59014,5.09998,0.00136,2.8754e-05,2.8754e-05,2.8754e-05
37,4851.89,1.57915,2.49347,0.00146,0.00754,0.1903,0.01483,0.00996,1.59072,5.04251,0.00136,2.83184e-05,2.83184e-05,2.83184e-05
38,4982.23,1.55245,2.4389,0.00144,0.00599,0.19261,0.01602,0.01086,1.57823,5.02245,0.00133,2.78828e-05,2.78828e-05,2.78828e-05
39,5112.56,1.56196,2.4141,0.00145,0.0058,0.19849,0.01678,0.01127,1.59343,5.03218,0.00137,2.74472e-05,2.74472e-05,2.74472e-05
40,5241.66,1.5746,2.37379,0.00145,0.00569,0.18232,0.01559,0.01091,1.56654,4.93921,0.00133,2.70116e-05,2.70116e-05,2.70116e-05
41,5371.55,1.58354,2.37241,0.00146,0.00552,0.19183,0.01544,0.01014,1.56899,5.07251,0.00133,2.6576e-05,2.6576e-05,2.6576e-05
42,5501.07,1.56512,2.33137,0.00144,0.00545,0.1934,0.01763,0.01114,1.56964,5.06778,0.00133,2.61404e-05,2.61404e-05,2.61404e-05
43,5631.3,1.56444,2.29829,0.00144,0.00577,0.20389,0.0173,0.01097,1.57535,5.079,0.00133,2.57048e-05,2.57048e-05,2.57048e-05
44,5761.43,1.55717,2.3019,0.00143,0.18791,0.04178,0.02321,0.01125,1.56198,5.04416,0.00132,2.52692e-05,2.52692e-05,2.52692e-05
45,5891.04,1.5482,2.28306,0.00141,0.00557,0.21134,0.01828,0.01125,1.56512,5.00819,0.00132,2.48336e-05,2.48336e-05,2.48336e-05
46,6021.05,1.55129,2.27814,0.00144,0.00528,0.21221,0.01961,0.01203,1.55535,5.05958,0.00132,2.4398e-05,2.4398e-05,2.4398e-05
47,6150.23,1.55133,2.25087,0.00143,0.00545,0.21112,0.01901,0.01212,1.56891,4.95239,0.00133,2.39624e-05,2.39624e-05,2.39624e-05
48,6279.97,1.55645,2.25413,0.00143,0.16321,0.06621,0.02493,0.0125,1.55464,5.02815,0.00131,2.35268e-05,2.35268e-05,2.35268e-05
49,6408.73,1.55155,2.22276,0.00141,0.24699,0.03313,0.02644,0.01344,1.55706,5.03403,0.00131,2.30912e-05,2.30912e-05,2.30912e-05
50,6538.29,1.54775,2.21935,0.00142,0.08746,0.13511,0.02617,0.0131,1.55902,5.01561,0.00132,2.26556e-05,2.26556e-05,2.26556e-05
51,6667.33,1.5348,2.20648,0.00141,0.19433,0.04295,0.0258,0.01401,1.55996,4.94915,0.00132,2.222e-05,2.222e-05,2.222e-05
52,6796.63,1.53076,2.17383,0.0014,0.18806,0.04143,0.02665,0.01366,1.55302,4.88386,0.00131,2.17844e-05,2.17844e-05,2.17844e-05
53,6925.44,1.52246,2.14341,0.0014,0.17977,0.0467,0.02651,0.01362,1.54953,4.92619,0.00131,2.13488e-05,2.13488e-05,2.13488e-05
54,7055.04,1.54869,2.19,0.00142,0.20201,0.04674,0.02664,0.01461,1.54292,5.00399,0.0013,2.09132e-05,2.09132e-05,2.09132e-05
55,7184.78,1.52877,2.16828,0.0014,0.25951,0.03629,0.02759,0.0144,1.54209,4.86876,0.0013,2.04776e-05,2.04776e-05,2.04776e-05
56,7313.58,1.54508,2.1639,0.00141,0.22921,0.04138,0.02795,0.01438,1.55582,4.98238,0.0013,2.0042e-05,2.0042e-05,2.0042e-05
57,7442.6,1.53348,2.15283,0.0014,0.20535,0.04273,0.02791,0.0147,1.54657,4.89832,0.00129,1.96064e-05,1.96064e-05,1.96064e-05
58,7571.49,1.54228,2.1548,0.0014,0.27608,0.03313,0.02833,0.01434,1.54828,4.97311,0.00129,1.91708e-05,1.91708e-05,1.91708e-05
59,7701.18,1.51999,2.10983,0.00139,0.24908,0.04024,0.02863,0.01581,1.53941,5.00027,0.00128,1.87352e-05,1.87352e-05,1.87352e-05
60,7830.33,1.53946,2.11281,0.0014,0.20354,0.04247,0.02839,0.01544,1.53919,4.92966,0.00129,1.82996e-05,1.82996e-05,1.82996e-05
61,7959.48,1.53467,2.10317,0.00138,0.22164,0.04044,0.02829,0.01577,1.5466,4.8643,0.00129,1.7864e-05,1.7864e-05,1.7864e-05
62,8087.94,1.52317,2.09665,0.0014,0.17888,0.06048,0.03013,0.01596,1.54578,4.86794,0.00129,1.74284e-05,1.74284e-05,1.74284e-05
63,8217.66,1.52426,2.09989,0.00141,0.23125,0.03482,0.03055,0.01636,1.54648,4.81996,0.00129,1.69928e-05,1.69928e-05,1.69928e-05
64,8346.65,1.5167,2.07616,0.0014,0.24745,0.03612,0.03,0.01706,1.53936,4.90828,0.00128,1.65572e-05,1.65572e-05,1.65572e-05
65,8476.15,1.53265,2.07402,0.00139,0.22486,0.045,0.03067,0.01655,1.53695,4.91248,0.00127,1.61216e-05,1.61216e-05,1.61216e-05
66,8605.64,1.52135,2.0562,0.00139,0.18644,0.05539,0.03225,0.01726,1.53886,4.88149,0.00127,1.5686e-05,1.5686e-05,1.5686e-05
67,8734.98,1.53735,2.07286,0.00139,0.24615,0.04232,0.03086,0.01657,1.53448,4.84926,0.00127,1.52504e-05,1.52504e-05,1.52504e-05
68,8864.51,1.52389,2.04921,0.00137,0.26501,0.03855,0.03153,0.01754,1.53584,4.836,0.00127,1.48148e-05,1.48148e-05,1.48148e-05
69,8993.36,1.51506,2.03924,0.00138,0.25496,0.03945,0.03144,0.01683,1.54135,4.85441,0.00128,1.43792e-05,1.43792e-05,1.43792e-05
70,9124.41,1.50623,2.04298,0.00138,0.26299,0.04028,0.03114,0.01743,1.53825,4.83599,0.00127,1.39436e-05,1.39436e-05,1.39436e-05
71,9266.42,1.50472,2.035,0.00138,0.24421,0.04052,0.03071,0.01718,1.53758,4.7928,0.00128,1.3508e-05,1.3508e-05,1.3508e-05
72,9407.28,1.51614,2.01692,0.00137,0.25473,0.03518,0.03066,0.01638,1.53069,4.81277,0.00127,1.30724e-05,1.30724e-05,1.30724e-05
73,9550.56,1.52697,2.02413,0.00138,0.26317,0.03902,0.03009,0.01625,1.53891,4.82324,0.00128,1.26368e-05,1.26368e-05,1.26368e-05
74,9689.82,1.50652,2.01486,0.00138,0.27144,0.04007,0.03021,0.01705,1.53769,4.86791,0.00127,1.22012e-05,1.22012e-05,1.22012e-05
75,9830.84,1.51863,2.03181,0.00139,0.25416,0.03962,0.03062,0.01728,1.53807,4.85901,0.00127,1.17656e-05,1.17656e-05,1.17656e-05
76,9970.78,1.51491,2.01966,0.00138,0.26183,0.03843,0.03,0.01684,1.53529,4.89186,0.00127,1.133e-05,1.133e-05,1.133e-05
77,10111,1.5174,2.03183,0.00138,0.26248,0.04092,0.03039,0.01709,1.53216,4.87606,0.00127,1.08944e-05,1.08944e-05,1.08944e-05
78,10250.9,1.51816,2.01379,0.00138,0.26985,0.03875,0.03086,0.01747,1.53124,4.88911,0.00126,1.04588e-05,1.04588e-05,1.04588e-05
79,10392,1.50642,2.0134,0.00137,0.27179,0.04268,0.0306,0.01729,1.53393,4.89283,0.00127,1.00232e-05,1.00232e-05,1.00232e-05
80,10532.6,1.51752,2.0025,0.00137,0.25441,0.04369,0.03078,0.01728,1.52691,4.87278,0.00126,9.5876e-06,9.5876e-06,9.5876e-06
81,10672.9,1.49918,1.99526,0.00137,0.27323,0.0444,0.03091,0.01746,1.52609,4.88783,0.00126,9.152e-06,9.152e-06,9.152e-06
82,10813.1,1.5067,2.00549,0.00136,0.27258,0.04273,0.03114,0.01686,1.52831,4.87564,0.00127,8.7164e-06,8.7164e-06,8.7164e-06
83,10953.6,1.49949,1.99842,0.00138,0.25438,0.04369,0.03149,0.01798,1.52883,4.83112,0.00127,8.2808e-06,8.2808e-06,8.2808e-06
84,11094,1.51108,2.00086,0.00137,0.25462,0.03993,0.03081,0.01758,1.52736,4.86399,0.00126,7.8452e-06,7.8452e-06,7.8452e-06
85,11234.1,1.49934,2.00559,0.00138,0.26095,0.04204,0.0312,0.01781,1.52081,4.85066,0.00126,7.4096e-06,7.4096e-06,7.4096e-06
86,11377.1,1.51546,1.99631,0.00138,0.25777,0.04015,0.03159,0.01807,1.51941,4.83779,0.00126,6.974e-06,6.974e-06,6.974e-06
87,11520.7,1.49918,1.98376,0.00138,0.26649,0.03985,0.03156,0.018,1.52219,4.83621,0.00126,6.5384e-06,6.5384e-06,6.5384e-06
88,11661,1.50109,1.99897,0.00137,0.2663,0.04249,0.03127,0.01779,1.52102,4.84351,0.00126,6.1028e-06,6.1028e-06,6.1028e-06
89,11803.7,1.52905,2.01917,0.00137,0.26718,0.04178,0.03185,0.01825,1.52225,4.81895,0.00126,5.6672e-06,5.6672e-06,5.6672e-06
90,11946.2,1.51063,1.98745,0.00138,0.26719,0.04204,0.03151,0.018,1.5248,4.82577,0.00126,5.2316e-06,5.2316e-06,5.2316e-06
91,12108.4,1.38725,1.87351,0.0014,0.26656,0.04445,0.03173,0.01816,1.5295,5.03532,0.00127,4.796e-06,4.796e-06,4.796e-06
92,12250.8,1.39334,1.86657,0.0014,0.29201,0.03569,0.03223,0.01865,1.53315,5.03615,0.00127,4.3604e-06,4.3604e-06,4.3604e-06
93,12394.8,1.36908,1.84335,0.00138,0.30001,0.03798,0.03216,0.01863,1.5299,5.03131,0.00127,3.9248e-06,3.9248e-06,3.9248e-06
94,12540.6,1.38012,1.85768,0.00138,0.29882,0.03883,0.03236,0.01884,1.53053,5.01277,0.00127,3.4892e-06,3.4892e-06,3.4892e-06
95,12688,1.37319,1.86392,0.00138,0.29023,0.03944,0.03247,0.01889,1.53017,5.00389,0.00127,3.0536e-06,3.0536e-06,3.0536e-06
96,12834.5,1.35518,1.82328,0.00138,0.29874,0.03827,0.03257,0.01899,1.53081,4.98578,0.00127,2.618e-06,2.618e-06,2.618e-06
97,12978.1,1.37208,1.84936,0.00138,0.2986,0.03825,0.03241,0.01885,1.52889,4.99951,0.00127,2.1824e-06,2.1824e-06,2.1824e-06
98,13122.8,1.37381,1.83544,0.00138,0.29886,0.03827,0.03242,0.01869,1.52992,4.996,0.00127,1.7468e-06,1.7468e-06,1.7468e-06
99,13268,1.38262,1.85136,0.00139,0.29945,0.03808,0.03227,0.01871,1.52947,4.99142,0.00127,1.3112e-06,1.3112e-06,1.3112e-06
100,13412,1.3661,1.83057,0.00137,0.29955,0.03816,0.03231,0.01871,1.52512,4.99337,0.00127,8.756e-07,8.756e-07,8.756e-07
