epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.378,1.71174,7.77656,0.91067,0.00101,0.04996,0.00148,0.00122,1.8354,5.18729,0.71846,1.46474e-05,1.46474e-05,1.46474e-05
2,196.199,1.72581,6.53967,0.83887,0.00123,0.05976,0.002,0.00168,1.83567,5.95522,0.70967,2.90239e-05,2.90239e-05,2.90239e-05
3,283.39,1.64454,5.46891,0.82957,0.0021,0.07088,0.00298,0.00254,1.77298,6.1788,0.70242,4.311e-05,4.311e-05,4.311e-05
4,370.893,1.56837,4.84785,0.82186,0.00193,0.06125,0.00453,0.00371,1.7584,6.90319,0.70434,4.26932e-05,4.26932e-05,4.26932e-05
5,459.472,1.46996,4.37958,0.8226,0.00121,0.0643,0.00203,0.0016,1.72351,6.4082,0.70215,4.22576e-05,4.22576e-05,4.22576e-05
6,546.856,1.46897,4.15081,0.81913,0.00146,0.08092,0.00279,0.00222,1.68535,6.08824,0.69986,4.1822e-05,4.1822e-05,4.1822e-05
7,634.386,1.42786,3.92141,0.81674,0.00251,0.09512,0.00418,0.00321,1.67962,6.01114,0.69892,4.13864e-05,4.13864e-05,4.13864e-05
8,722.421,1.41698,3.74765,0.81496,0.00275,0.10308,0.00498,0.00396,1.68636,5.86638,0.69624,4.09508e-05,4.09508e-05,4.09508e-05
9,809.025,1.39388,3.57255,0.81446,0.00353,0.11044,0.00602,0.00473,1.66935,5.74699,0.6954,4.05152e-05,4.05152e-05,4.05152e-05
10,896.15,1.35524,3.42549,0.81651,0.00305,0.11719,0.00613,0.00478,1.67232,5.88593,0.69631,4.00796e-05,4.00796e-05,4.00796e-05
11,983.03,1.34607,3.30072,0.8133,0.00355,0.13149,0.00767,0.00593,1.64614,5.85437,0.69272,3.9644e-05,3.9644e-05,3.9644e-05
12,1070.22,1.33217,3.15153,0.81093,0.00409,0.13214,0.00894,0.0069,1.64474,5.8167,0.69424,3.92084e-05,3.92084e-05,3.92084e-05
13,1157.63,1.33639,3.05694,0.81246,0.00337,0.1394,0.00973,0.00736,1.62704,5.97392,0.69361,3.87728e-05,3.87728e-05,3.87728e-05
14,1244.31,1.30655,2.98886,0.81079,0.00482,0.14006,0.01096,0.0084,1.64173,5.55761,0.69141,3.83372e-05,3.83372e-05,3.83372e-05
15,1332.2,1.30508,2.86959,0.81268,0.00515,0.15144,0.0116,0.0089,1.62595,5.71108,0.69102,3.79016e-05,3.79016e-05,3.79016e-05
16,1419.71,1.30811,2.80286,0.81131,0.00549,0.16098,0.01327,0.01013,1.66225,5.57372,0.69143,3.7466e-05,3.7466e-05,3.7466e-05
17,1507.25,1.28688,2.74334,0.8107,0.0045,0.16742,0.01251,0.00957,1.61277,5.80517,0.68957,3.70304e-05,3.70304e-05,3.70304e-05
18,1594.08,1.27808,2.71135,0.80806,0.00517,0.19167,0.01471,0.01112,1.60834,5.57836,0.69012,3.65948e-05,3.65948e-05,3.65948e-05
19,1681.69,1.27907,2.6251,0.80487,0.00531,0.17107,0.01573,0.01193,1.61854,5.77509,0.68991,3.61592e-05,3.61592e-05,3.61592e-05
20,1768.71,1.28574,2.57436,0.80326,0.00519,0.18383,0.01669,0.01268,1.62441,5.51338,0.69016,3.57236e-05,3.57236e-05,3.57236e-05
21,1855.72,1.27289,2.51275,0.80556,0.00514,0.18732,0.01728,0.01325,1.60996,5.7384,0.69125,3.5288e-05,3.5288e-05,3.5288e-05
22,1943.05,1.25876,2.47245,0.80646,0.00775,0.21383,0.0186,0.01398,1.60926,5.48228,0.69178,3.48524e-05,3.48524e-05,3.48524e-05
23,2030.47,1.26456,2.46704,0.80618,0.19509,0.04537,0.01845,0.01378,1.61921,5.68453,0.69,3.44168e-05,3.44168e-05,3.44168e-05
24,2117.98,1.24029,2.37594,0.80402,0.0065,0.20506,0.01981,0.01495,1.60117,5.4502,0.69041,3.39812e-05,3.39812e-05,3.39812e-05
25,2205.52,1.24555,2.36855,0.80531,0.00568,0.19793,0.0183,0.0137,1.62385,5.56044,0.68865,3.35456e-05,3.35456e-05,3.35456e-05
26,2292.94,1.22795,2.32398,0.80523,0.00685,0.19854,0.02213,0.01652,1.58338,5.34886,0.69113,3.311e-05,3.311e-05,3.311e-05
27,2379.78,1.25935,2.30264,0.80364,0.01085,0.21336,0.0238,0.01768,1.58734,5.37375,0.68938,3.26744e-05,3.26744e-05,3.26744e-05
28,2466.39,1.23532,2.2739,0.80334,0.00903,0.22173,0.023,0.01739,1.58815,5.56734,0.69061,3.22388e-05,3.22388e-05,3.22388e-05
29,2553.39,1.25333,2.24984,0.80036,0.01027,0.23677,0.0254,0.01903,1.57622,5.59321,0.68938,3.18032e-05,3.18032e-05,3.18032e-05
30,2640.45,1.22391,2.20119,0.80468,0.00978,0.23785,0.02338,0.01689,1.57965,5.45994,0.69003,3.13676e-05,3.13676e-05,3.13676e-05
31,2727.16,1.20237,2.16559,0.79973,0.00869,0.23345,0.02532,0.01811,1.57307,5.26461,0.69055,3.0932e-05,3.0932e-05,3.0932e-05
32,2814.75,1.21124,2.15805,0.80385,0.00964,0.24712,0.02599,0.01905,1.56971,5.54399,0.69092,3.04964e-05,3.04964e-05,3.04964e-05
33,2901.79,1.21335,2.10957,0.80155,0.01074,0.21218,0.02584,0.01878,1.57234,5.46104,0.69055,3.00608e-05,3.00608e-05,3.00608e-05
34,2988.9,1.21327,2.09124,0.79852,0.19247,0.07796,0.02506,0.01849,1.5591,5.29391,0.68927,2.96252e-05,2.96252e-05,2.96252e-05
35,3075.77,1.20139,2.08187,0.80188,0.01028,0.24165,0.02544,0.01863,1.56085,5.4534,0.6904,2.91896e-05,2.91896e-05,2.91896e-05
36,3162.59,1.2211,2.03085,0.80244,0.01005,0.24698,0.02722,0.0192,1.57482,5.44593,0.68971,2.8754e-05,2.8754e-05,2.8754e-05
37,3249.51,1.20713,2.0508,0.80148,0.1854,0.08089,0.02843,0.01949,1.55986,5.22034,0.68916,2.83184e-05,2.83184e-05,2.83184e-05
38,3336.84,1.18529,2.00209,0.80057,0.00954,0.25939,0.02837,0.02037,1.5562,5.50946,0.68998,2.78828e-05,2.78828e-05,2.78828e-05
39,3424.43,1.19981,2.00153,0.80137,0.18815,0.07561,0.0315,0.02215,1.55873,5.49146,0.68996,2.74472e-05,2.74472e-05,2.74472e-05
40,3511.99,1.20777,1.96871,0.80049,0.1812,0.09271,0.03065,0.02219,1.54381,5.55331,0.68907,2.70116e-05,2.70116e-05,2.70116e-05
41,3599.11,1.22138,1.96329,0.80214,0.1688,0.10331,0.03029,0.0214,1.55795,5.40721,0.68958,2.6576e-05,2.6576e-05,2.6576e-05
42,3685.95,1.20495,1.92789,0.80161,0.00866,0.28072,0.03131,0.02216,1.54553,5.57371,0.68975,2.61404e-05,2.61404e-05,2.61404e-05
43,3773.3,1.18591,1.90286,0.80101,0.19578,0.08863,0.03135,0.02219,1.5638,5.41912,0.69011,2.57048e-05,2.57048e-05,2.57048e-05
44,3860.86,1.1764,1.89562,0.79999,0.14776,0.09498,0.02957,0.021,1.56621,5.51175,0.69088,2.52692e-05,2.52692e-05,2.52692e-05
45,3947.92,1.18628,1.86983,0.79984,0.09489,0.14634,0.03101,0.02203,1.55057,5.52862,0.6902,2.48336e-05,2.48336e-05,2.48336e-05
46,4035.2,1.18329,1.87374,0.80054,0.09661,0.15313,0.03113,0.02233,1.53961,5.51827,0.68868,2.4398e-05,2.4398e-05,2.4398e-05
47,4122.3,1.1864,1.86239,0.79799,0.10377,0.15286,0.03213,0.02269,1.53344,5.33797,0.68838,2.39624e-05,2.39624e-05,2.39624e-05
