epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.572,1.76865,7.76531,0.93189,0.00102,0.0661,0.00252,0.0021,1.86776,5.46848,0.72327,1.46474e-05,1.46474e-05,1.46474e-05
2,198.409,1.72909,5.92779,0.85185,0.00202,0.05164,0.00228,0.00193,1.83917,6.34818,0.70876,2.90239e-05,2.90239e-05,2.90239e-05
3,288.788,1.6019,4.98696,0.8341,0.00101,0.05193,0.00121,0.00094,1.78262,6.41945,0.70303,4.311e-05,4.311e-05,4.311e-05
4,377.404,1.53604,4.43684,0.82961,0.00263,0.04883,0.003,0.00234,1.7645,6.43521,0.70064,4.26932e-05,4.26932e-05,4.26932e-05
5,464.948,1.45515,4.01044,0.82559,0.00538,0.07133,0.00495,0.00382,1.74614,6.13772,0.69909,4.22576e-05,4.22576e-05,4.22576e-05
6,553.602,1.45326,3.75598,0.82198,0.00403,0.09475,0.00548,0.00414,1.70891,6.20205,0.69886,4.1822e-05,4.1822e-05,4.1822e-05
7,646.546,1.4155,3.56129,0.81802,0.00469,0.09682,0.00553,0.00405,1.68582,6.08342,0.69787,4.13864e-05,4.13864e-05,4.13864e-05
8,740.712,1.39515,3.38933,0.81688,0.00326,0.11647,0.00552,0.0041,1.70167,5.96826,0.69922,4.09508e-05,4.09508e-05,4.09508e-05
9,835.709,1.37864,3.2419,0.81604,0.00293,0.11249,0.00648,0.00482,1.6708,5.92046,0.6978,4.05152e-05,4.05152e-05,4.05152e-05
10,929.199,1.34004,3.10351,0.81679,0.00392,0.13677,0.00891,0.00666,1.65128,5.94655,0.69958,4.00796e-05,4.00796e-05,4.00796e-05
11,1023.33,1.33363,3.00851,0.81457,0.00344,0.1491,0.00856,0.00633,1.638,5.80832,0.69634,3.9644e-05,3.9644e-05,3.9644e-05
12,1116.1,1.31646,2.88227,0.81186,0.00461,0.16041,0.01138,0.00867,1.64043,5.87471,0.69422,3.92084e-05,3.92084e-05,3.92084e-05
13,1208.45,1.3217,2.78733,0.81122,0.00429,0.15787,0.01246,0.00959,1.66154,6.01744,0.69565,3.87728e-05,3.87728e-05,3.87728e-05
14,1298.47,1.29424,2.73501,0.81064,0.00638,0.17328,0.01511,0.0115,1.6237,5.82872,0.69333,3.83372e-05,3.83372e-05,3.83372e-05
15,1388.08,1.29419,2.6525,0.81274,0.00538,0.18905,0.01479,0.01106,1.59936,5.64499,0.69224,3.79016e-05,3.79016e-05,3.79016e-05
16,1477.64,1.29577,2.57629,0.8114,0.04745,0.1537,0.01662,0.01232,1.61798,5.44543,0.69252,3.7466e-05,3.7466e-05,3.7466e-05
17,1567.2,1.2811,2.53226,0.81012,0.00492,0.20398,0.01631,0.01249,1.62436,5.76098,0.69322,3.70304e-05,3.70304e-05,3.70304e-05
18,1656.34,1.2694,2.49818,0.80775,0.0058,0.21729,0.01894,0.01455,1.59092,5.64187,0.6931,3.65948e-05,3.65948e-05,3.65948e-05
19,1745.45,1.27801,2.4315,0.80552,0.10792,0.1138,0.01882,0.01434,1.60337,5.79184,0.6918,3.61592e-05,3.61592e-05,3.61592e-05
20,1833.64,1.28325,2.35635,0.80423,0.00618,0.21867,0.01895,0.01462,1.61293,5.46317,0.69405,3.57236e-05,3.57236e-05,3.57236e-05
21,1922.43,1.27035,2.31667,0.80487,0.20092,0.06509,0.02048,0.01463,1.60459,5.41771,0.69252,3.5288e-05,3.5288e-05,3.5288e-05
22,2010.92,1.2558,2.2871,0.80597,0.04175,0.16689,0.02101,0.0155,1.6079,5.36341,0.69315,3.48524e-05,3.48524e-05,3.48524e-05
23,2100.85,1.2645,2.28072,0.80638,0.17775,0.06989,0.02386,0.01665,1.61687,5.34884,0.69403,3.44168e-05,3.44168e-05,3.44168e-05
24,2190.68,1.23179,2.19541,0.80378,0.24575,0.03309,0.0217,0.01534,1.59359,5.35277,0.69315,3.39812e-05,3.39812e-05,3.39812e-05
25,2280.67,1.2436,2.18767,0.8053,0.29284,0.02852,0.02181,0.0155,1.59302,5.58186,0.69244,3.35456e-05,3.35456e-05,3.35456e-05
26,2370.16,1.22339,2.14261,0.80494,0.23901,0.03986,0.02602,0.01846,1.58754,5.31574,0.69208,3.311e-05,3.311e-05,3.311e-05
27,2458.2,1.26085,2.12587,0.80486,0.27018,0.0369,0.02756,0.0188,1.59958,5.31351,0.69201,3.26744e-05,3.26744e-05,3.26744e-05
28,2546.38,1.23324,2.10476,0.80469,0.24259,0.05,0.03056,0.01901,1.5757,5.46393,0.68903,3.22388e-05,3.22388e-05,3.22388e-05
29,2635.67,1.24933,2.07113,0.80111,0.17898,0.0789,0.03387,0.02193,1.57538,5.36144,0.68955,3.18032e-05,3.18032e-05,3.18032e-05
30,2723.93,1.22749,2.03216,0.80543,0.25238,0.04336,0.03182,0.0207,1.56847,5.28627,0.68815,3.13676e-05,3.13676e-05,3.13676e-05
31,2812.19,1.1996,2.00318,0.79938,0.24752,0.04436,0.03212,0.02107,1.57091,5.27199,0.68727,3.0932e-05,3.0932e-05,3.0932e-05
32,2900.24,1.20394,1.99861,0.80392,0.25111,0.04228,0.03369,0.0232,1.58181,5.09992,0.68879,3.04964e-05,3.04964e-05,3.04964e-05
33,2991.6,1.21612,1.95765,0.80226,0.25796,0.04335,0.03402,0.02283,1.57193,5.22509,0.68828,3.00608e-05,3.00608e-05,3.00608e-05
