epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5368,1.59544,10.0185,0.90069,0.00108,0.07289,0.00207,0.00172,1.67486,6.20819,0.71186,1.46474e-05,1.46474e-05,1.46474e-05
2,190.336,1.425,4.48101,0.82481,0.00123,0.08449,0.00213,0.00167,1.61798,6.81712,0.69766,2.87337e-05,2.87337e-05,2.87337e-05
3,281.19,1.31429,3.32665,0.81629,0.42455,0.00649,0.00374,0.00267,1.58563,7.35286,0.69214,4.22391e-05,4.22391e-05,4.22391e-05
4,371.268,1.2713,2.78876,0.80895,0.00338,0.10214,0.00583,0.00419,1.5591,6.24252,0.68806,4.13864e-05,4.13864e-05,4.13864e-05
5,460.874,1.21374,2.46081,0.80735,0.00546,0.12699,0.0084,0.00626,1.5721,6.52549,0.68934,4.05152e-05,4.05152e-05,4.05152e-05
6,550.597,1.21526,2.24961,0.8032,0.00464,0.16561,0.01158,0.00894,1.53837,6.81868,0.68988,3.9644e-05,3.9644e-05,3.9644e-05
7,640.029,1.18894,2.0768,0.80329,0.00571,0.19443,0.01812,0.0138,1.53715,6.05623,0.68778,3.87728e-05,3.87728e-05,3.87728e-05
8,729.592,1.17304,1.96942,0.79965,0.01455,0.21246,0.02319,0.01754,1.54912,5.9531,0.68715,3.79016e-05,3.79016e-05,3.79016e-05
9,819.255,1.16524,1.85881,0.80068,0.1507,0.071,0.02667,0.02018,1.53602,5.95181,0.68716,3.70304e-05,3.70304e-05,3.70304e-05
10,909.115,1.13539,1.78577,0.80152,0.01074,0.22707,0.02633,0.01982,1.50216,6.02655,0.6871,3.61592e-05,3.61592e-05,3.61592e-05
11,998.613,1.12675,1.7307,0.79991,0.27379,0.05867,0.03417,0.02389,1.49544,5.67198,0.68601,3.5288e-05,3.5288e-05,3.5288e-05
12,1088.37,1.11883,1.62512,0.79664,0.25478,0.0576,0.038,0.02659,1.5093,5.78721,0.68616,3.44168e-05,3.44168e-05,3.44168e-05
