epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.458,1.75965,7.68204,0.94142,0.00082,0.03444,0.00307,0.00224,1.84833,5.64818,0.72621,1.46474e-05,1.46474e-05,1.46474e-05
2,334.455,1.69132,5.69724,0.85272,0.00225,0.04799,0.00265,0.00223,1.85542,6.27719,0.7122,2.90239e-05,2.90239e-05,2.90239e-05
3,489.807,1.58634,4.88636,0.83811,0.00186,0.04336,0.00286,0.00216,1.81268,6.51632,0.70677,4.311e-05,4.311e-05,4.311e-05
4,644.597,1.54311,4.39184,0.83025,0.00253,0.05687,0.00455,0.00367,1.8069,6.27552,0.70559,4.26932e-05,4.26932e-05,4.26932e-05
5,799.118,1.4562,3.96202,0.82726,0.00376,0.08995,0.00683,0.00573,1.79222,6.42463,0.70049,4.22576e-05,4.22576e-05,4.22576e-05
6,955.297,1.45791,3.70881,0.82381,0.00299,0.09836,0.00734,0.00595,1.80411,6.12145,0.7006,4.1822e-05,4.1822e-05,4.1822e-05
7,1136.31,1.43107,3.54011,0.82047,0.23352,0.0196,0.00814,0.00641,1.78801,5.81112,0.69773,4.13864e-05,4.13864e-05,4.13864e-05
8,1312.83,1.42455,3.38906,0.81965,0.00453,0.1264,0.01061,0.00824,1.77497,5.99672,0.695,4.09508e-05,4.09508e-05,4.09508e-05
9,1499.94,1.40323,3.23365,0.81943,0.00468,0.11394,0.01066,0.00829,1.77674,5.63811,0.69508,4.05152e-05,4.05152e-05,4.05152e-05
10,1684.23,1.37294,3.11715,0.82022,0.00937,0.1452,0.02062,0.01785,1.74334,5.75026,0.69379,4.00796e-05,4.00796e-05,4.00796e-05
11,1867.23,1.35849,3.00968,0.8177,0.01249,0.17186,0.02244,0.01827,1.72069,6.119,0.69321,3.9644e-05,3.9644e-05,3.9644e-05
12,2043.02,1.34733,2.88312,0.81417,0.01306,0.15913,0.02219,0.01825,1.73312,5.99835,0.69176,3.92084e-05,3.92084e-05,3.92084e-05
13,2224.42,1.35292,2.79872,0.81373,0.00417,0.14962,0.01428,0.01081,1.70335,6.27307,0.68978,3.87728e-05,3.87728e-05,3.87728e-05
14,2408.71,1.32096,2.73885,0.81316,0.01357,0.16465,0.02267,0.01915,1.69692,5.84116,0.68902,3.83372e-05,3.83372e-05,3.83372e-05
15,2588.41,1.31449,2.63845,0.81501,0.00562,0.16319,0.02336,0.01801,1.66877,5.55972,0.68982,3.79016e-05,3.79016e-05,3.79016e-05
16,2767.73,1.32935,2.59054,0.81456,0.14211,0.0552,0.02091,0.01606,1.69422,5.36464,0.69172,3.7466e-05,3.7466e-05,3.7466e-05
17,2940.58,1.31173,2.5263,0.81351,0.00529,0.17987,0.01931,0.01406,1.66357,5.74851,0.68879,3.70304e-05,3.70304e-05,3.70304e-05
18,3117.55,1.29817,2.50381,0.81088,0.04883,0.15498,0.02512,0.01652,1.64007,5.36805,0.68748,3.65948e-05,3.65948e-05,3.65948e-05
19,3300.76,1.30617,2.42962,0.80777,0.24356,0.03356,0.02392,0.0174,1.6359,5.74306,0.68769,3.61592e-05,3.61592e-05,3.61592e-05
20,3482.02,1.30925,2.3648,0.80656,0.00643,0.19628,0.027,0.02031,1.62822,5.48964,0.68541,3.57236e-05,3.57236e-05,3.57236e-05
21,3658.59,1.29565,2.31223,0.80863,0.00686,0.19537,0.02332,0.01726,1.62324,5.42372,0.68635,3.5288e-05,3.5288e-05,3.5288e-05
22,3839.84,1.27517,2.28536,0.80848,0.06762,0.12036,0.02112,0.01575,1.63369,5.73833,0.6891,3.48524e-05,3.48524e-05,3.48524e-05
23,4021.51,1.29746,2.29101,0.80897,0.15126,0.06438,0.02234,0.01561,1.64817,5.44584,0.68757,3.44168e-05,3.44168e-05,3.44168e-05
24,4202.33,1.25688,2.19338,0.80709,0.18582,0.06539,0.02714,0.0192,1.61928,5.5053,0.68765,3.39812e-05,3.39812e-05,3.39812e-05
25,4373.53,1.276,2.19791,0.8086,0.16118,0.06576,0.02495,0.01812,1.61413,5.47213,0.6864,3.35456e-05,3.35456e-05,3.35456e-05
26,4528.05,1.25046,2.1426,0.8074,0.26962,0.04294,0.03081,0.02071,1.63933,5.43514,0.68741,3.311e-05,3.311e-05,3.311e-05
27,4682.04,1.28608,2.13254,0.80637,0.2746,0.04299,0.03323,0.0228,1.61316,5.4252,0.68762,3.26744e-05,3.26744e-05,3.26744e-05
28,4836.38,1.26226,2.09657,0.80687,0.22639,0.04901,0.02965,0.02171,1.60384,5.44592,0.68651,3.22388e-05,3.22388e-05,3.22388e-05
29,4991.19,1.27703,2.08174,0.80342,0.231,0.04772,0.03565,0.02321,1.62483,5.42167,0.68729,3.18032e-05,3.18032e-05,3.18032e-05
30,5145.19,1.24589,2.03695,0.80703,0.22872,0.04666,0.03662,0.0253,1.60128,5.53296,0.68644,3.13676e-05,3.13676e-05,3.13676e-05
31,5299.92,1.23389,2.01341,0.80104,0.27833,0.03971,0.02922,0.02068,1.61736,5.41335,0.68566,3.0932e-05,3.0932e-05,3.0932e-05
32,5454.31,1.23887,2.00798,0.8071,0.26444,0.03954,0.03258,0.02333,1.6086,5.44942,0.68718,3.04964e-05,3.04964e-05,3.04964e-05
33,5608.27,1.24115,1.96077,0.80387,0.27586,0.05105,0.03024,0.02189,1.58765,5.38176,0.68571,3.00608e-05,3.00608e-05,3.00608e-05
34,5762.24,1.2427,1.94928,0.80095,0.15323,0.0702,0.03066,0.02144,1.58514,5.2325,0.6864,2.96252e-05,2.96252e-05,2.96252e-05
35,5916.45,1.23369,1.93416,0.80523,0.25291,0.04911,0.035,0.02434,1.58568,5.31695,0.68495,2.91896e-05,2.91896e-05,2.91896e-05
36,6070.45,1.24042,1.89611,0.80362,0.27962,0.04748,0.03538,0.02375,1.58358,5.15209,0.68504,2.8754e-05,2.8754e-05,2.8754e-05
37,6224.55,1.23768,1.91528,0.80277,0.22198,0.05003,0.03476,0.02281,1.5869,5.3048,0.6852,2.83184e-05,2.83184e-05,2.83184e-05
38,6378.8,1.20934,1.85517,0.80301,0.22167,0.05581,0.03149,0.02189,1.58361,5.3007,0.68369,2.78828e-05,2.78828e-05,2.78828e-05
39,6533.24,1.21992,1.86483,0.80245,0.25893,0.05308,0.03392,0.02424,1.58637,5.36945,0.68319,2.74472e-05,2.74472e-05,2.74472e-05
40,6687.93,1.23947,1.83616,0.80268,0.25571,0.04385,0.03585,0.0257,1.59857,5.33516,0.68405,2.70116e-05,2.70116e-05,2.70116e-05
41,6842.1,1.24975,1.83542,0.80402,0.15061,0.06777,0.02956,0.02161,1.57733,5.27218,0.68334,2.6576e-05,2.6576e-05,2.6576e-05
42,6996.39,1.23011,1.8048,0.80329,0.24995,0.05225,0.03496,0.02458,1.57277,5.24483,0.68219,2.61404e-05,2.61404e-05,2.61404e-05
43,7150.71,1.21263,1.7821,0.80211,0.19171,0.05872,0.03403,0.02368,1.57868,5.18727,0.68321,2.57048e-05,2.57048e-05,2.57048e-05
44,7305.11,1.20405,1.7652,0.80244,0.28601,0.05472,0.03381,0.02366,1.5795,5.14569,0.68213,2.52692e-05,2.52692e-05,2.52692e-05
45,7459,1.21048,1.75431,0.8026,0.2619,0.04859,0.03729,0.02458,1.57144,5.19637,0.68216,2.48336e-05,2.48336e-05,2.48336e-05
46,7613.5,1.20632,1.76382,0.80123,0.29974,0.05055,0.03762,0.02474,1.56466,5.21373,0.68226,2.4398e-05,2.4398e-05,2.4398e-05
47,7767.65,1.20753,1.74737,0.80008,0.26928,0.05201,0.03423,0.02374,1.57659,5.30024,0.68392,2.39624e-05,2.39624e-05,2.39624e-05
48,7921.77,1.20431,1.72932,0.80294,0.29996,0.05068,0.03242,0.02291,1.57607,5.28903,0.68354,2.35268e-05,2.35268e-05,2.35268e-05
49,8075.93,1.21037,1.71255,0.79969,0.30567,0.05413,0.03346,0.02374,1.57083,5.40801,0.68331,2.30912e-05,2.30912e-05,2.30912e-05
50,8229.77,1.21134,1.70328,0.80286,0.27574,0.05582,0.03653,0.02588,1.57447,5.09496,0.68306,2.26556e-05,2.26556e-05,2.26556e-05
51,8384.01,1.17546,1.68377,0.79946,0.28583,0.0537,0.03649,0.0254,1.575,5.11133,0.68374,2.222e-05,2.222e-05,2.222e-05
52,8538.29,1.19213,1.66882,0.80037,0.27644,0.05636,0.0368,0.02611,1.56405,5.25996,0.68243,2.17844e-05,2.17844e-05,2.17844e-05
53,8691.7,1.16808,1.63146,0.80009,0.29045,0.0544,0.03591,0.02556,1.55946,5.17289,0.6827,2.13488e-05,2.13488e-05,2.13488e-05
54,8845.89,1.19224,1.67492,0.80065,0.27517,0.05376,0.04032,0.02584,1.57033,5.21968,0.68331,2.09132e-05,2.09132e-05,2.09132e-05
55,9000.27,1.18469,1.63044,0.79764,0.27698,0.05362,0.04082,0.02687,1.55091,5.2457,0.68362,2.04776e-05,2.04776e-05,2.04776e-05
56,9154.05,1.19511,1.65067,0.79914,0.28577,0.05699,0.03705,0.02597,1.54913,5.25488,0.68344,2.0042e-05,2.0042e-05,2.0042e-05
57,9308.4,1.18401,1.6382,0.7989,0.253,0.06045,0.03705,0.02609,1.57013,5.13244,0.68469,1.96064e-05,1.96064e-05,1.96064e-05
58,9462.46,1.19074,1.63982,0.79879,0.28407,0.05599,0.03616,0.02503,1.55315,5.25731,0.68299,1.91708e-05,1.91708e-05,1.91708e-05
