               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.3574,              59.701,              1.7213,                   0,                   0,                   0,                   0,             0.39237,                 inf,             0.63963,            0.070039,            0.003329,            0.003329
                   1,              2.9883,              31.459,              1.8988,                   0,                   0,                   0,                   0,              2.1637,              3.9767,              1.1932,            0.039973,           0.0065963,           0.0065963
                   2,                3.85,              6.2129,              1.6795,          9.8501e-07,          0.00086869,          1.8448e-06,          1.4341e-06,              2.0096,               129.5,              1.0099,           0.0098414,           0.0097977,           0.0097977
                   3,              2.5761,              4.3607,              1.1978,           0.0012577,            0.038307,           0.0024011,           0.0016317,               1.882,              8.4873,             0.92881,            0.009703,            0.009703,            0.009703
                   4,              2.1284,              3.5673,              1.0747,           0.0053088,            0.023546,           0.0034532,             0.00273,              1.7045,              6.9639,              0.8677,            0.009703,            0.009703,            0.009703
                   5,              1.8857,              3.1809,              1.0157,            0.003762,            0.060435,            0.006621,           0.0051486,               1.681,              6.9868,             0.85077,            0.009604,            0.009604,            0.009604
                   6,              1.8165,              2.9877,             0.98594,           0.0062833,            0.075709,           0.0060273,           0.0044763,              1.6312,              7.5897,              0.8271,            0.009505,            0.009505,            0.009505
                   7,              1.6869,              2.7863,             0.96294,           0.0039745,            0.088002,            0.005065,           0.0036654,              1.5983,              5.9447,             0.82843,            0.009406,            0.009406,            0.009406
                   8,              1.6324,              2.6668,             0.95376,           0.0056245,             0.09529,           0.0075067,           0.0053143,              1.5884,              5.8945,             0.82066,            0.009307,            0.009307,            0.009307
                   9,               1.592,              2.5599,             0.93876,           0.0080188,             0.11112,            0.012317,           0.0092037,              1.5002,              6.1618,             0.79143,            0.009208,            0.009208,            0.009208
                  10,              1.5511,              2.4928,               0.935,           0.0056821,             0.12904,           0.0084553,           0.0062592,              1.4649,              7.3288,             0.78414,            0.009109,            0.009109,            0.009109
                  11,              1.5412,               2.422,              0.9277,           0.0081231,             0.11896,           0.0099727,           0.0067697,               1.475,              5.7862,             0.78017,             0.00901,             0.00901,             0.00901
                  12,              1.4997,              2.3788,              0.9203,           0.0047163,             0.14705,           0.0080789,           0.0055365,              1.4219,               6.491,             0.76591,            0.008911,            0.008911,            0.008911
                  13,              1.4637,              2.3018,             0.91184,           0.0041588,             0.18639,            0.012391,            0.008321,              1.3949,                   6,              0.7617,            0.008812,            0.008812,            0.008812
                  14,              1.4405,               2.251,             0.90717,           0.0091049,             0.18099,            0.016755,            0.011686,              1.4095,              5.6775,             0.77864,            0.008713,            0.008713,            0.008713
                  15,              1.4015,              2.2063,             0.89715,            0.006982,             0.19359,             0.02125,            0.014095,               1.383,              6.0458,             0.76257,            0.008614,            0.008614,            0.008614
                  16,              1.4121,              2.1759,             0.89342,           0.0082689,             0.19142,            0.022948,             0.01671,               1.344,              5.7232,             0.74883,            0.008515,            0.008515,            0.008515
                  17,              1.3788,              2.1327,             0.89435,           0.0067977,             0.22964,            0.020971,            0.013807,              1.3514,              5.2301,             0.76064,            0.008416,            0.008416,            0.008416
                  18,              1.3571,              2.0842,             0.89335,           0.0065143,             0.25672,            0.021383,            0.015006,              1.2971,              5.8051,             0.73434,            0.008317,            0.008317,            0.008317
                  19,              1.3467,              2.0639,              0.8916,           0.0067152,             0.25055,            0.021298,            0.014398,              1.3048,              6.3091,             0.74835,            0.008218,            0.008218,            0.008218
